%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1651207310669210725,1083,1651207310668458548,imu_link,-3.23740348816e-05,8.79848670959e-06,5.546434021e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310675284881,1084,1651207310674478171,imu_link,-3.01309242249e-05,6.63777589798e-06,5.75151824951e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310687407202,1085,1651207310686420884,imu_link,-3.46354560852e-05,6.60115337372e-06,5.61418495178e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310699086875,1086,1651207310698330716,imu_link,-3.38847007751e-05,1.02908411026e-05,5.69017601013e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310705175278,1087,1651207310704244297,imu_link,-3.61186561584e-05,9.47599697113e-06,5.26993637085e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310717205425,1088,1651207310716302506,imu_link,-3.46354560852e-05,8.05688667297e-06,5.546434021e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310728594381,1089,1651207310728267634,imu_link,-3.38663902283e-05,9.48515319824e-06,5.33860282898e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310735479975,1090,1651207310734535227,imu_link,-3.31247901917e-05,8.80764198303e-06,5.61693153381e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310747007514,1091,1651207310746300013,imu_link,-3.53679008484e-05,7.26035356522e-06,5.19577636719e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310759213558,1092,1651207310758493614,imu_link,-3.31156349182e-05,6.55537605286e-06,5.33310966492e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310765254774,1093,1651207310764477384,imu_link,-3.53679008484e-05,7.26950883865e-06,5.26627388e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
